,id,from,to,priority,type,shape,length,speed,lane_id,num_lane,from_region,to_region,region
117,-140582314,1540020144,1540020153,3,highway.living_street,"6560.95,8251.51 6560.07,8284.40",40.12,2.78,-140582314_0,1,8,8,8
118,-140582315#0,1540020146,1540020122,3,highway.living_street,"6620.48,8243.91 6658.64,8244.67",52.70,2.78,-140582315#0_0,1,8,8,8
119,-140582315#1,1540020144,1540020146,3,highway.living_street,"6566.75,8242.80 6606.08,8243.61",53.69,2.78,-140582315#1_0,1,8,8,8
120,-140582315#2,1540020139,1540020144,3,highway.living_street,"6512.25,8235.80 6528.80,8242.01 6552.36,8242.50",56.24,2.78,-140582315#2_0,1,8,8,8
121,-141179145,1546911869,1546911851,4,highway.residential,"9741.14,9213.77 9689.01,9168.91 9674.64,9151.34",105.63,8.33,-141179145_0,1,5,5,5
122,-141179146,cluster_1546911878_565419773,1546911871,4,highway.residential,"9852.30,9281.75 9817.04,9250.31",58.44,8.33,-141179146_0,1,5,5,5
123,-141179147#0,1546911851,1545534366,4,highway.residential,"9675.75,9139.02 9694.53,9123.05 9725.13,9097.13",75.10,8.33,-141179147#0_0,1,5,5,5
124,-141179147#3,1546911875,1546911851,4,highway.residential,"9694.23,9263.62 9681.81,9252.33 9653.32,9226.67 9632.77,9210.26 9628.05,9203.31 9625.81,9194.09 9630.13,9185.49 9643.67,9167.44 9656.14,9154.89 9664.84,9147.99",171.78,8.33,-141179147#3_0,1,5,5,5
125,-141179148,1545534382,255394840,4,highway.residential,"9559.96,9240.37 9515.83,9282.63",68.27,13.89,-141179148_0,1,5,5,5
126,-141179149,1546911901,1545534387,4,highway.residential,"9809.15,9331.37 9761.37,9293.55",68.28,8.33,-141179149_0,1,5,5,5
127,-141179151#0,1546911869,1546911865,4,highway.residential,"9751.81,9210.75 9782.79,9178.09 9788.95,9171.58",68.95,8.33,-141179151#0_0,1,5,5,5
128,-141179151#1,1546911875,1546911869,4,highway.residential,"9704.39,9261.00 9741.54,9221.60",68.65,8.33,-141179151#1_0,1,5,5,5
129,-141179151#2,1546911898,1546911875,4,highway.residential,"9661.06,9307.94 9694.58,9271.52",64.06,8.33,-141179151#2_0,1,5,5,5
130,-141179152#0,1546911845,2409296215,4,highway.residential,"9730.04,8990.92 9731.08,8987.89 9734.92,8985.33 9739.96,8985.42 9744.23,8987.73 9745.83,8989.76",28.19,8.33,-141179152#0_0,1,5,5,5
131,-141179152#1,2409296215,1546911845,4,highway.residential,"9740.54,9000.68 9740.42,9000.68 9733.71,9000.18 9730.39,8996.37 9729.85,8993.30",24.09,8.33,-141179152#1_0,1,5,5,5
132,-141179152#3,1546911848,2409296215,4,highway.residential,"9766.17,9125.46 9793.70,9102.08 9799.55,9098.35 9803.95,9093.69 9806.55,9088.71 9806.88,9080.07 9806.65,9071.94 9805.85,9069.62 9803.53,9062.90 9789.56,9045.70 9753.50,9004.24",173.91,8.33,-141179152#3_0,1,5,5,5
133,-141181390,1546911943,1546911948,3,highway.living_street,"10053.43,9601.07 10018.40,9633.60",62.25,2.78,-141181390_0,1,5,5,5
134,-141181393#0,1546911980,1546911977,4,highway.residential,"10059.58,9893.95 10080.20,9877.05",33.52,8.33,-141181393#0_0,1,5,5,5
135,-141181394#2,650763180,1546911975,4,highway.residential,"9903.83,9619.31 9909.00,9624.47 9950.85,9669.88 9986.76,9707.52 10043.92,9769.22 10097.06,9823.23 10115.41,9844.26",323.81,8.33,-141181394#2_0,1,5,5,5
136,-141181394#3,cluster_60694349_650763172,650763180,4,highway.residential,"9804.52,9543.77 9854.58,9572.69 9865.36,9579.96 9871.49,9585.23 9877.49,9591.93 9893.85,9609.09",126.51,8.33,-141181394#3_0,1,5,5,5
137,-141181396#0,1546911954,1546911943,3,highway.living_street,"10119.57,9663.62 10061.38,9601.32",99.67,2.78,-141181396#0_0,1,5,5,5
